,S5,pssm195,pssm389,pssm12,pssm189,pssm183,pssm339,pssm9,pssm116,S2,LC4.2,pssm215,pssm390,pssm72,pssm245,pssm392,LC3.2,pssm396,pssm65,pssm59,pssm52,pssm129,pssm395,pssm329,pssm112,LC8.3,pssm307,pssm311,pssm196,pssm309,pssm394,pssm182,pssm155,pssm385,pssm194,pssm382,pssm44,pssm319,pssm251,pssm327,pssm4,pssm316,pssm184,pssm199,pssm239,pssm69,pssm190,X.G1.1.1.19.,pssm119,pssm209,pssm185,pssm214,pssm109,pssm243,pssm172,pssm19,pssm305,pssm399,pssm192,pssm79,pssm287,pssm393,pssm302,pssm50,pssm40,pssm332,pssm180,pssm191,pssm300,GL3,pssm55,pssm95,pssm132,pssm143,pssm312,X.G4.3.4.2.,pssm315,pssm211,pssm92,pssm255,pssm89,pssm203,pssm91,X.G4.3.2.15.,X.G4.3.4.15.,X.G4.2.7.1.,pssm80,pssm150,pssm235,pssm204,pssm7,pssm169,pssm324,pssm240,pssm2,pssm82,LC4.3,pssm252,pssm32,pssm335,pssm0,pssm336,pssm216,pssm49,pssm105,pssm67,pssm391,pssm148,pssm83,pssm176,pssm99,pssm94,pssm330,pssm111,X.G4.3.6.1.,X.G4.3.8.3.,X.G4.3.5.2.,X.G4.3.1.3.,pssm147,X.G4.3.7.3.,X.G4.3.2.3.,X.G4.3.3.1.,pssm299
0,1,2,2,2,2,2,3,2,3,2,2,2,2,3,2,3,1,2,2,2,2,2,2,3,3,1,3,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,1,2,3,3,3,3,4,3,3,3,4,2,2,3,0,0,1,3,3,3,3,2,2,3,2,2,3,1,2,3,3,2,3,2,2,3,3,3,3,4,3,3,3,3,3,1,1,1,1,3,1,1,1,3
1,2,3,2,2,1,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,1,2,2,3,3,3,2,2,2,3,2,3,3,1,2,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,1,3,3,2,3,3,4,3,3,3,2,2,3,3,3,3,1,3,2,3,3,2,2,3,2,2,3,2,2,2,3,2,3,2,2,2,3,2,3,3,3,3,3,3,2,1,1,1,1,3,1,1,1,3
2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,1,2,2,2,2,1,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,2,2,2,3,3,2,3,3,1,3,2,3,2,2,2,3,1,1,1,3,2,3,3,2,2,3,2,2,3,1,2,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,3,2,3,3,3,3,2,3,2,3,3,2,0,0,3,3,3,2,3,2,2,3,2,2,3,1,2,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
4,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,0,2,2,2,3,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,2,2,1,3,3,2,3,3,3,2,2,3,3,3,2,3,1,1,1,3,2,2,3,2,2,4,2,2,4,0,3,2,3,1,2,2,2,2,3,2,2,4,3,3,4,2,3,2,2,2,2,3,2,2,2,2
5,4,0,0,1,0,1,1,1,1,4,2,2,0,2,0,0,3,1,0,1,1,1,1,0,0,3,2,2,1,1,1,0,2,1,0,1,0,1,0,2,0,2,0,0,1,1,0,1,2,0,0,0,0,1,0,2,2,0,0,2,1,1,2,1,1,1,2,1,2,3,1,0,2,1,2,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,3,1,1,2,1,2,1,1,2,0,0,1,0,0,1,0,0,1,3,3,3,3,2,3,3,3,1
6,4,0,0,1,0,0,1,1,1,4,1,1,1,1,0,0,3,1,0,1,0,1,1,0,0,3,2,1,0,0,1,0,2,1,0,0,0,1,0,2,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,1,2,0,0,2,1,1,2,1,2,1,1,0,2,3,2,0,1,1,2,2,2,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,3,0,1,1,2,2,1,0,2,1,0,0,0,0,0,0,1,0,3,3,3,3,2,3,3,3,0
7,2,2,2,2,1,2,3,2,3,2,1,2,2,3,2,3,1,2,2,2,3,1,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,3,3,2,2,3,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,3,2,2,3,1,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,0,3,2,3,3,2,2,3,2,2,2,1,4,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,3,2,2,2,3
8,3,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,1,1,3,0,0,1,2,0,0,0,0,1,0,2,1,0,0,2,0,0,3,3,3,3,2,3,3,3,1
9,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,0
